"","Date","BRAZIL_Financials","BRAZIL_Industrials","BRAZIL_Resources","CHINA_FINANCIAL","CHINA_INDUSTRIAL","CHINA_RESOURCE","INDIA_FINANCIAL","INDIA_INDUSTRIALS","INDIA_RESOURCES","RUSSIA_FINANCIAL","RUSSIA_INDUSTRIAL","RUSSIA_RESOURCES","SOUTH_AFRICA_FINANCIAL","SOUTH_AFRICA_INDUSTRIAL","SOUTH_AFRICA_RESOURCE"
"1","2006-01-02",0.000349295154184099,0.000203515533281337,0.0000573002959269828,0.000187249846508968,0.000211168923997532,0.000200332870106124,0.00029911605748027,0.000662193251412234,0.000187499948913468,0.000394127589962413,0.000356361165085337,0.000382230137871124,0.0000956013549399178,0.0000738157773400871,0.000167783231730278
"2","2006-01-03",0.000349295154184099,0.000203515533281337,0.0000573002959269828,0.000180248889998751,0.000211168923997532,0.000200332870106124,0.00029911605748027,0.000662193251412234,0.000183253136976906,0.000394127589962413,0.000356361165085337,0.000382230137871124,0.0000956013549399178,0.0000738157773400871,0.000167783231730278
"3","2006-01-04",0.000349295154184099,0.000203515533281337,0.0000573002959269828,0.000173543894799165,0.00019663014101956,0.000200332870106124,0.00029911605748027,0.000603570694930773,0.000179805466563365,0.000394127589962413,0.000308599532978366,0.000350626035943018,0.0000956013549399178,0.0000738157773400871,0.000165032763882341
"4","2006-01-05",0.000429401551485389,0.000207180402080279,0.0000566120269466179,0.000167237317437931,0.000195176427766206,0.000212339310857786,0.000292120851413064,0.000564923234464082,0.000177009633564183,0.000353864253832504,0.000287120264864438,0.000322497153639991,0.0000913127336594759,0.0000704646585060222,0.000163933563228145
"5","2006-01-06",0.000401276469011069,0.000189524470382763,0.0000624532847274647,0.000179167918001145,0.000206039989784803,0.000191806985783776,0.000275271731256612,0.000546651952007641,0.000179549881123195,0.00032457986384868,0.000298447749948108,0.000302330223609504,0.0000905293725051652,0.0000685793822903015,0.000166124828495185
"6","2006-01-09",0.000421115625231699,0.000184448014223276,0.0000639211125104754,0.00017515066225648,0.000564362485249481,0.00019594559492161,0.000259328804118845,0.000631966246831503,0.000176780342849176,0.000298480994736257,0.000455668189333493,0.000288073599437756,0.0000876721276478636,0.0000723833670625045,0.000163284069056968
"7","2006-01-10",0.000393689034364988,0.000182719763743237,0.000062703780402108,0.000168717235186485,0.00026511922330137,0.000182221121071454,0.000247185337439917,0.000596188715385551,0.000173060481852578,0.000395848204559055,0.000612936589849545,0.000265270222299486,0.0000904591705609308,0.0000700438282462768,0.000160479643931507
"8","2006-01-11",0.000379803186518109,0.000169063994358927,0.0000633367313426109,0.000162560838887851,0.000481247722738486,0.000198872300209033,0.000255951165360659,0.00055292372355781,0.000169200207215044,0.00035512463622271,0.00045594532983631,0.000244442889827973,0.000086541815561053,0.0000669639333280821,0.000157829939994518
"9","2006-01-12",0.000377352203996528,0.000167724187271975,0.0000615257242375956,0.000156696623939499,0.000266519020108597,0.000272012057940454,0.000240184006369518,0.000516132763508476,0.0001654617966435,0.000573895137166616,0.000677272010221854,0.000288919321529104,0.0000858904267737582,0.0000642136292249069,0.000155231854730463
"10","2006-01-13",0.000352274938577653,0.000164321864016113,0.0000601123581222639,0.000152929127863729,0.000413864855906571,0.00031105075356983,0.000226115233755679,0.000483644300600603,0.000167871643746479,0.00153751475425591,0.000514238724819566,0.000275603281547342,0.0000825793173502109,0.0000613890090847616,0.00015782311000689
"11","2006-01-16",0.000335472201105948,0.000151711271665521,0.0000641733997849039,0.00017542785056979,0.000266115599505236,0.000261997384131684,0.000215044342322956,0.000588035386581266,0.000168843988307027,0.00149558383126304,0.000544169154407495,0.000340936127846653,0.0000814826698416122,0.0000587252268685209,0.000160736673699412
"12","2006-01-17",0.000340940770527631,0.00014138941307769,0.0000630939425218749,0.000200867552393847,0.00046612372425953,0.000279968272490954,0.000207271188417064,0.000824760562293253,0.000165141846312789,0.00133305869174815,0.000528114358698279,0.000396513908897095,0.0000789956979871288,0.0000597469562809656,0.00015802501712045
"13","2006-01-18",0.000330918808482206,0.00013329799020412,0.000068084551589697,0.000193528227468856,0.000290733161603928,0.000248625996758957,0.000202333548532118,0.000762672451666251,0.000161466887251666,0.00146249710421222,0.000447529215359302,0.000378867132634538,0.0000776142997800662,0.0000612051587872635,0.000155320184003961
"14","2006-01-19",0.000312397422072632,0.000126828429959578,0.0000689663221756642,0.000187508111597066,0.000404526436753227,0.000256089139884036,0.000197018935870042,0.000713463201756287,0.000157928654373304,0.00161732393276031,0.000485343134932749,0.000352344860421348,0.0000833541536323634,0.0000585566642357094,0.00015284530559089
"15","2006-01-20",0.000446261179952628,0.000147308437825744,0.0000670473759150775,0.000180480777812217,0.000280366203635542,0.000247712804481491,0.000199082126014005,0.000660365986686959,0.000154434071214703,0.00187074413073432,0.000631826887665777,0.000417016308366152,0.0000834655376508546,0.0000569557639605618,0.000160755635543662
"16","2006-01-23",0.000422854304287931,0.00017618145464757,0.0000740032242900279,0.000173990130911757,0.000355162790133261,0.000240314714409449,0.000193285294427136,0.000615311017974828,0.000151986352214126,0.00166243113410227,0.00104747453649087,0.000443992189322906,0.0000797224293380234,0.0000545356872998937,0.000159199480754107
"17","2006-01-24",0.000395980870330515,0.000164056159784046,0.0000735524195043894,0.000176966156377389,0.000265568601395465,0.000231355198613699,0.00018579664918242,0.000581359058521033,0.000149893324161274,0.00166593975244116,0.000728885822613613,0.000416087871263319,0.000079087829241007,0.0000523697939481047,0.000156584001602645
